,Order,Sample_Site,DATE,Sp,Species,root_leaves,PT,Plot,Treatment,code,aseptate,arbuscule,vesicle,septate,total
ITS93,146,KY,16-Oct,ELCA_Ep,ELCA_Ep,root,3W,3,W,KY.ELCA_Ep.root.3.W,0.72,0.06,0.07,0,0.72
ITS74,147,KY,16-Oct,ELCA_Ep,ELCA_Ep,root,3C,3,C,KY.ELCA_Ep.root.3.C,0.36,0.09,0.02,0.01,0.37
ITS58,148,RMBL,16-Aug,FETH,FETH,root,8,7,W,RMBL.FETH.root.8.W,0.8,0.09,0.09,0.25,1.05
ITS52,149,RMBL,16-Aug,FETH,FETH,root,6,5,W,RMBL.FETH.root.6.W,0.634615385,0.048076923,0.153846154,0.076923077,0.711538462
ITS44,150,RMBL,16-Aug,POPR,POPR,root,3,3,C,RMBL.POPR.root.3.C,0.51,0,0.03,0.25,0.76
ITS16,151,Kessler,16-Jul,SCSC,SCSC,root,5W,5,W,Kessler.SCSC.root.5.W,0.137254902,0.058823529,0.009803922,0.068627451,0.205882353
ITS50,152,RMBL,16-Aug,POPR,POPR,root,5,5,C,RMBL.POPR.root.5.C,0.451923077,0.009615385,0.009615385,0.028846154,0.480769231
ITS46,153,RMBL,16-Aug,FETH,FETH,root,4,3,W,RMBL.FETH.root.4.W,0.34,0,0.06,0.04,0.38
ITS39,154,RMBL,16-Aug,ACLE,ACLE,root,2,1,W,RMBL.ACLE.root.2.W,0.7,0.11,0.15,0.01,0.71
ITS171,155,KY,16-Oct,FEAR_Ep,FEAR_Ep,leaves,1C,1,C,KY.FEAR_Ep.leaves.1.C,0,0,0,0,0.18
ITS192,156,KY,16-Oct,ELCA_Ep,ELCA_Ep,leaves,2W,2,W,KY.ELCA_Ep.leaves.2.W,0,0,0,0,0.24
ITS42,157,RMBL,16-Aug,ACLE,ACLE,root,3,3,C,RMBL.ACLE.root.3.C,0.54,0.09,0.04,0.04,0.58
ITS190,158,KY,16-Oct,FEAR_Ep,FEAR_Ep,leaves,1W,1,W,KY.FEAR_Ep.leaves.1.W,0,0,0,0,0.214285714
ITS174,159,KY,16-Oct,ELCA_Em,ELCA_Em,leaves,2C,2,C,KY.ELCA_Em.leaves.2.C,0,0,0,0,0.75
ITS201,160,KY,16-Oct,ELCA_Em,ELCA_Em,leaves,4W,4,W,KY.ELCA_Em.leaves.4.W,0,0,0,0,0
ITS175,161,KY,16-Oct,FEAR_Ep,FEAR_Ep,leaves,2C,2,C,KY.FEAR_Ep.leaves.2.C,0,0,0,0,0.326923077
ITS94,162,KY,16-Oct,ELCA_Em,ELCA_Em,root,3W,3,W,KY.ELCA_Em.root.3.W,0.69,0.01,0.06,0.01,0.7
ITS31,163,Kessler,16-Jul,SONU,SONU,root,1W,1,W,Kessler.SONU.root.1.W,0.14,0,0,0.01,0.15
ITS127,164,Kessler,16-Jul,SPCO,SPCO,leaves,4W,4,W,Kessler.SPCO.leaves.4.W,0,0,0,0,0.086206897
ITS167,165,RMBL,16-Aug,FETH,FETH,leaves,10,9,W,RMBL.FETH.leaves.10.W,0,0,0,0,8.528301887
ITS165,166,RMBL,16-Aug,POPR,POPR,leaves,9,9,C,RMBL.POPR.leaves.9.C,0,0,0,0,5.38
ITS141,167,RMBL,16-Aug,POPR,POPR,leaves,1,1,C,RMBL.POPR.leaves.1.C,0,0,0,0,0.66
ITS194,168,KY,16-Oct,FEAR_Ep,FEAR_Ep,leaves,2W,2,W,KY.FEAR_Ep.leaves.2.W,0,0,0,0,0.240740741
ITS169,169,KY,16-Oct,ELCA_Ep,ELCA_Ep,leaves,1C,1,C,KY.ELCA_Ep.leaves.1.C,0,0,0,0,0.04
ITS97,170,KY,16-Oct,ELCA_Ep,ELCA_Ep,root,4W,4,W,KY.ELCA_Ep.root.4.W,0.59,0.03,0.05,0.05,0.64
ITS205,171,KY,16-Oct,FEAR_Ep,FEAR_Ep,leaves,5W,5,W,KY.FEAR_Ep.leaves.5.W,0,0,0,0,0.06
ITS199,172,KY,16-Oct,FEAR_Em,FEAR_Em,leaves,3W,3,W,KY.FEAR_Em.leaves.3.W,0,0,0,0,0.211538462
ITS187,173,KY,16-Oct,FEAR_Em,FEAR_Em,leaves,5C,5,C,KY.FEAR_Em.leaves.5.C,0,0,0,0,4.14
ITS107,174,Kessler,16-Jul,SONU,SONU,leaves,3W,3,W,Kessler.SONU.leaves.3.W,0,0,0,0,1.28
ITS108,175,Kessler,16-Jul,SCSC,SCSC,leaves,3C,3,C,Kessler.SCSC.leaves.3.C,0,0,0,0,6.73
ITS34,176,Kessler,16-Jul,SPCO,SPCO,root,1W,1,W,Kessler.SPCO.root.1.W,0.34,0.08,0.03,0.06,0.4
ITS154,177,RMBL,16-Aug,ACLE,ACLE,leaves,6,5,W,RMBL.ACLE.leaves.6.W,0,0,0,0,0.46
ITS105,178,Kessler,16-Jul,SPCO,SPCO,leaves,3C,3,C,Kessler.SPCO.leaves.3.C,0,0,0,0,0.18
ITS172,179,KY,16-Oct,FEAR_Em,FEAR_Em,leaves,1C,1,C,KY.FEAR_Em.leaves.1.C,0,0,0,0,0
ITS180,180,KY,16-Oct,ELCA_Ep,ELCA_Ep,leaves,4C,4,C,KY.ELCA_Ep.leaves.4.C,0,0,0,0,0.37254902
ITS45,181,RMBL,16-Aug,ACLE,ACLE,root,4,3,W,RMBL.ACLE.root.4.W,0.78,0.02,0.04,0.01,0.79
ITS69,182,KY,16-Oct,FEAR_Em,FEAR_Em,root,1C,1,C,KY.FEAR_Em.root.1.C,0.702970297,0.04950495,0.01980198,0.04950495,0.752475248
ITS179,183,KY,16-Oct,FEAR_Em,FEAR_Em,leaves,3C,3,C,KY.FEAR_Em.leaves.3.C,0,0,0,0,0
ITS163,184,RMBL,16-Aug,ACLE,ACLE,leaves,9,9,C,RMBL.ACLE.leaves.9.C,0,0,0,0,1.28
ITS197,185,KY,16-Oct,ELCA_Em,ELCA_Em,leaves,3W,3,W,KY.ELCA_Em.leaves.3.W,0,0,0,0,0.153846154
ITS137,186,Kessler,16-Jul,SPCO,SPCO,leaves,1W,1,W,Kessler.SPCO.leaves.1.W,0,0,0,0,0.098039216
